"Month","SoC_PFS","SoC_OS","Trt_PFS","Trt_OS"
136,4.88769891353789e-07,0.0182978797586611,9.64235671555494e-05,0.0744446497222
137,4.29911644242197e-07,0.017715014100777,8.48121274097355e-05,0.0720732695235874
138,3.78070298809193e-07,0.0171503097922566,7.45849682879904e-05,0.0697757785028303
139,3.32418338433979e-07,0.0166032167331831,6.55788389316391e-05,0.0675499385866567
140,2.92224696276939e-07,0.0160732008575519,5.76495159059905e-05,0.0653935769355264
141,2.56843657277943e-07,0.0155597436917992,5.06696138082906e-05,0.0633045841475114
142,2.25705019187062e-07,0.0150623419243649,4.45266442551291e-05,0.0612809125070674
143,1.98305372029715e-07,0.0145805069860659,3.91212955123963e-05,0.0593205742777921
144,1.74200370832224e-07,0.0141137646410599,3.43659080737121e-05,0.057421640038264
145,1.52997890199928e-07,0.0136616545881781,3.01831242089985e-05,0.0555822370600726
146,1.34351961622097e-07,0.0132237300724104,2.65046919278647e-05,0.0538005477271511
147,1.17957405332436e-07,0.0127995575063278,2.32704059635573e-05,0.0520748079955386
148,1.03545078321066e-07,0.0123887161012277,2.04271703100693e-05,0.0504033058927022
149,9.08776687994458e-08,0.0119907975077939,1.79281685624132e-05,0.0487843800555646
150,7.9745975176605e-08,0.0116054054660601,1.57321298403389e-05,0.0472164183063888
151,6.99656145144413e-08,0.0112321554644747,1.3802679438839e-05,0.0456978562656866
152,6.13741115823844e-08,0.010870674407862,1.21077645625529e-05,0.044227176001324
153,5.38283251085896e-08,0.0105206002940809,1.06191465816414e-05,0.0428029047130124
154,4.72021726987388e-08,0.0101815818991845,9.31195220822269e-06,0.0414236134513841
155,4.13846202295253e-08,0.00985327847088522,8.16427684785541e-06,0.0400879158708615
156,3.62779053801939e-08,0.00953535943013612,7.15683414131944e-06,0.0387944670155436
157,3.17959683941425e-08,0.0092275040806392,6.27264638833723e-06,0.0375419621373456
158,2.78630662101019e-08,0.00892940132609595,5.49677114608638e-06,0.0363291355456367
159,2.44125488103593e-08,0.00864074939501853,4.81605982957313e-06,0.0351547594876389
160,2.13857790390306e-08,0.00836125557292234,4.21894461549614e-06,0.0340176430588559
161,1.87311792796685e-08,0.00809063594172467,3.69525037267162e-06,0.0329166311428208
162,1.64033902781263e-08,0.00782861512617643,3.23602871625479e-06,0.0318506033794577
163,1.4362529079988e-08,0.00757492604715782,2.83341161508928e-06,0.0308184731613678
164,1.25735345455946e-08,0.00732930968167135,2.48048227619282e-06,0.0298191866573659
165,1.10055902307388e-08,0.00709151482936909,2.17116129179072e-06,0.0288517218625989
166,9.63161559620559e-09,0.00686129788545385,1.90010626613031e-06,0.0279150876745984
167,8.42781755118793e-09,0.00663842261979742,1.66262334484403e-06,0.027008322994626
168,7.37329525906158e-09,0.0064226599621218,1.45458925180643e-06,0.026130495853687
169,6.44969195231522e-09,0.00621378779309249,1.27238259986542e-06,0.0252807025625958
170,5.64088822836714e-09,0.00601159074117595,1.11282338484144e-06,0.0244580668854943
171,4.93273194005978e-09,0.00581585998511646,9.73119698853132e-07,0.0236617392362313
172,4.31280036312903e-09,0.0056263930618904,8.50820811181348e-07,0.022890895897028
173,3.77019082619876e-09,0.0054429936799991,7.43775864164417e-07,0.0221447382588621
174,3.29533643422838e-09,0.00526547153796422,6.50097519480698e-07,0.0214224920830195
175,2.87984391040148e-09,0.00509364214789266,5.68129967913877e-07,0.0207234067832704
176,2.51635093001102e-09,0.00492732666398066,4.96420784461166e-07,0.0200467547281411
177,2.19840062815064e-09,0.00476635171582984,4.33696171456372e-07,0.0193918305627626
178,1.92033123555576e-09,0.00461054924645043,3.78839186144715e-07,0.0187579505497893
179,1.67717903783562e-09,0.00445975635483007,3.3087059667013e-07,0.0181444519288924
180,1.46459306621814e-09,0.00431381514294876,2.88932052432452e-07,0.0175506922943427
181,1.27876011600876e-09,0.0041725725671239,2.52271291875787e-07,0.0169760489902099
182,1.11633885509173e-09,0.00403588029357128,2.20229143542666e-07,0.0164199185227146
183,9.74401931505897e-10,0.00390359455807108,1.92228105169939e-07,0.015881715989282
184,8.50385118648194e-10,0.00377557602963011,1.67762311154108e-07,0.0153608745238533
185,7.42042650983038e-10,0.00365168967803429,1.46388721267518e-07,0.014856844758025
186,6.47408004023962e-10,0.00353180464518762,1.27719383409931e-07,0.0143690942975937
187,5.64759461365406e-10,0.00341579412013661,1.11414640739975e-07,0.0138971072140944
188,4.92589890057064e-10,0.00330353521768118,9.71771690201796e-08,0.0134403835509313
189,4.2958021485383e-10,0.00319490886047581,8.47467436689367e-08,0.0129984388437078
190,3.74576142922745e-10,0.0030897996645266,7.3895648056264e-08,0.012570803654373
191,3.26567744402109e-10,0.00298809582799256,6.44246451964863e-08,0.0121570231188114
192,2.84671541634005e-10,0.00288968902320131,5.6159444347098e-08,0.0117566565075105
193,2.48114801679278e-10,0.00279447429179197,4.89476022668724e-08,0.0113692767989513
194,2.1622176353572e-10,0.0027023499428997,4.26558061484328e-08,0.0109944702653733
195,1.88401563901688e-10,0.00261321745429888,3.71674916365409e-08,0.0106318360705773
196,1.64137653876161e-10,0.00252698137642363,3.23807549754049e-08,0.0102809858794342
197,1.42978524119524e-10,0.00244354923918668,2.82065232865603e-08,0.00994154347877908
198,1.24529578121376e-10,0.00236283146151936,2.45669513430548e-08,0.00961314440937578
199,1.08446012688977e-10,0.00228474126355752,2.13940170461486e-08,0.00929543560864684
200,9.44265818977704e-11,0.00220919458140007,1.86282911896841e-08,0.00898807506386985
201,8.22081358117327e-11,0.00213610998436872,1.621786006953e-08,0.00869073147554992
202,7.15608385316376e-11,0.00206540859469926,1.41173821095052e-08,0.00840308393068482
203,6.2283981780135e-11,0.00199701400959651,1.22872619736406e-08,0.00812482158564674
204,5.42023204749644e-11,0.00193085222558683,1.06929276552375e-08,0.00785564335841172
205,4.71628657440548e-11,0.0018668515651039,9.3041978091656e-09,0.00759525762987472
206,4.10320787473088e-11,0.00180494260524477,8.09472815451943e-09,0.00734338195399501
207,3.56934156204528e-11,0.00174505810863539,7.0415271459478e-09,0.00709974277652334
208,3.10451799619015e-11,0.00168713295634583,6.12453231646737e-09,0.00686407516206869
209,2.69986446458117e-11,0.00163110408279737,5.32623975241935e-09,0.00663612252926869
210,2.34764094530047e-11,0.00157691041260502,4.6313800901137e-09,0.00641563639383434
211,2.04109651451122e-11,0.00152449279930045,4.02663523918809e-09,0.00620237611924514
212,1.77434382356423e-11,0.00147379396588188,3.50039075350163e-09,0.00599610867487725
213,1.54224938958533e-11,0.00142475844713879,3.04251939855365e-09,0.00579660840135252
214,1.34033772271993e-11,0.00137733253370091,2.64419201558904e-09,0.00560365678290245
